instance,x_up,x_low,ideal_makespan,ideal_load_imbalance,ideal_idle_distance,baseline_makespan,baseline_load_imbalance,baseline_idle_distance,scale_makespan,scale_load_imbalance,scale_idle_distance,baseline_hash,normalization_spec_hash
w30,10.620140509319,11.254076975942,1105.6116151072342,0.0,0.0,1554.2827832968858,837.1778686060666,56.42888166245678,448.67116818965155,837.1778686060666,56.42888166245678,7f02b1f32805327f74ae18d74adbf056fe3ee06f0935fadf16eacd0dd0235b83,ef5037b3835463d87211d948b95bc53da758ac06f33485d1a6e4e691506ea812
w45,9.65315484314,11.254076975942,1633.7983767912513,0.0,0.0,1992.794284139979,891.0262542170765,78.55400072240515,358.99590734872777,891.0262542170765,78.55400072240515,1d832d127073e59797e664875881ffde573b9d1bfd22fd8cf5a6135634a7a78a,a7bd147b019153e99bce82a8ed548f89f48f6ac71e7b01622a593308fdf28202
w60,9.65315484314,10.548969408063,2343.458919681393,0.0,0.0,3617.139436861682,2251.5067124341367,89.2021419599181,1273.680517180289,2251.5067124341367,89.2021419599181,c23905f8baba4aed34740678207c6060817d96668d69aeb8a1146595f396f27d,cd7da7d34e4f007ba80893766d54d1e63998727f7f4c5cc6fd24671dd614467a
