comparison,instance,seed,left_algorithm,right_algorithm,fitness_left,fitness_right,fitness_difference,fitness_relative_degradation,makespan_left,makespan_right,makespan_difference,makespan_relative_degradation,load_imbalance_left,load_imbalance_right,load_imbalance_difference,load_imbalance_relative_degradation,total_idle_distance_left,total_idle_distance_right,total_idle_distance_difference,total_idle_distance_relative_degradation,wall_time_left_s,wall_time_right_s,wall_time_ratio_left_over_right,speedup_right_over_left,seconds_per_primary_left,seconds_per_primary_right,route_evaluations_left,route_evaluations_right,direction_dp_left,direction_dp_right,fitness_winner,abma20_best_fitness_after_generation_5,abma20_final_fitness_after_generation_20,remaining_improvement_after_generation_5,abma20_generation_of_final_best,abma20_primary_evaluation_of_final_best,abma20_time_to_best_s
ABMA1_vs_ABMA20,w30,78,ABMA1,ABMA20,1.010605934542888,0.8699137546281621,0.14069217991472582,0.16173118216168866,1269.308863646738,1247.981379390075,21.327484256662956,0.017089585316638553,144.15812496997773,100.73300233801228,43.42512263196545,0.43109131688789826,71.15430242870491,76.89076798539294,-5.736465556688032,-0.07460538770763477,24.075762500055134,47.39698620000854,0.5079597761439691,1.9686598171044427,0.29164296250221217,0.1801589281743555,443938,1399126,243826,653160,right,1.010605934542888,0.8699137546281621,0.16173118216168866,19,234,42.26255420013331
ABMA1_vs_HGA72,w30,78,ABMA1,HGA-budget72,1.010605934542888,3.7167385932436883,-2.7061326587008003,-0.7280933514183715,1269.308863646738,1636.3616602950501,-367.0527966483121,-0.22431031327275738,144.15812496997773,1008.1767668988668,-864.0186419288891,-0.8570110622431764,71.15430242870491,59.197398685276966,11.956903743427944,0.20198360078281202,24.075762500055134,1.728661600034684,13.92740053899044,0.07180090765684888,0.29164296250221217,0.0013695680536329746,443938,451,243826,231,left,,,,,,
ABMA20_vs_HGA252,w30,78,ABMA20,HGA-budget252,0.8699137546281621,3.7167385932436883,-2.846824838615526,-0.7659470170408279,1247.981379390075,1636.3616602950501,-388.38028090497505,-0.23734379161324687,100.73300233801228,1008.1767668988668,-907.4437645608546,-0.9000839876048075,76.89076798539294,59.197398685276966,17.693369300115975,0.2988876148795455,47.39698620000854,1.7960645998828113,26.389354928047172,0.03789406761652891,0.1801589281743555,0.0006701996030714658,1399126,1171,653160,266,left,,,,,,
ABMA1_vs_ABMA20,w30,79,ABMA1,ABMA20,1.0928454210031089,0.7886881476711166,0.3041572733319923,0.38564960590586433,1269.308863646738,1247.9271397889602,21.381723857777843,0.017133791850535245,215.2955015693176,7.347022067290482,207.9484795020271,28.303777720748936,64.46737412925695,103.25323498972944,-38.78586086047248,-0.37563821476712567,25.949654400115833,49.352163000032306,0.5258058172667902,1.9018427852284618,0.3213117027771659,0.18930508452375228,480201,1419800,285006,728367,right,1.0928454210031089,0.7886881476711166,0.38564960590586433,18,223,42.42668670020066
ABMA1_vs_HGA72,w30,79,ABMA1,HGA-budget72,1.0928454210031089,3.7420447010908915,-2.6491992800877826,-0.7079550063406459,1269.308863646738,1640.7809185867861,-371.4720549400481,-0.22639954593084805,215.2955015693176,1012.5960251906029,-797.3005236212853,-0.7873826321520548,64.46737412925695,59.38240501939936,5.084969109857596,0.08563090545417303,25.949654400115833,2.870126400142908,9.04129323322616,0.1106036464258305,0.3213117027771659,0.0027600333333895025,480201,451,285006,232,left,,,,,,
ABMA20_vs_HGA252,w30,79,ABMA20,HGA-budget252,0.7886881476711166,3.7420447010908915,-2.9533565534197748,-0.7892360432142362,1247.9271397889602,1640.7809185867861,-392.85377879782595,-0.23943097725453386,7.347022067290482,1012.5960251906029,-1005.2490031233124,-0.992744370030578,103.25323498972944,59.38240501939936,43.87082997033008,0.7387849979467508,49.352163000032306,3.004116600146517,16.42817825300965,0.0608710220085906,0.18930508452375228,0.0015199420639195494,1419800,1171,728367,307,left,,,,,,
ABMA1_vs_ABMA20,w30,80,ABMA1,ABMA20,1.0616110106663088,0.8411868231500879,0.22042418751622095,0.26203951542033604,1269.308863646738,1249.191948324941,20.116915321797023,0.01610394251161487,184.09800959077234,77.33145640625048,106.76655318452185,1.3806354896982416,70.55016860527454,74.5570994502873,-4.006930845012761,-0.05374311600848255,25.166757100028917,58.52287370013073,0.4300328317604933,2.3254038439487097,0.3075311152788345,0.2220375742061093,496891,1438285,292791,731797,right,1.0616110106663088,0.8411868231500879,0.26203951542033604,20,242,53.945368899963796
ABMA1_vs_HGA72,w30,80,ABMA1,HGA-budget72,1.0616110106663088,3.7177935815907244,-2.6561825709244156,-0.7144513305087585,1269.308863646738,1636.3616602950501,-367.0527966483121,-0.22431031327275738,184.09800959077234,1008.1767668988668,-824.0787573080945,-0.8173951080453338,70.55016860527454,59.88520681620034,10.664961789074198,0.17809008862250567,25.166757100028917,3.521775000030175,7.146043429751556,0.13993757662269996,0.3075311152788345,0.002925019442854035,496891,451,292791,232,left,,,,,,
ABMA20_vs_HGA252,w30,80,ABMA20,HGA-budget252,0.8411868231500879,3.7177935815907244,-2.8766067584406363,-0.77374031002814,1249.191948324941,1636.3616602950501,-387.1697119701091,-0.23660399859301218,77.33145640625048,1008.1767668988668,-930.8453104926164,-0.9232957364767286,74.5570994502873,59.88520681620034,14.671892634086959,0.24500028327726958,58.52287370013073,4.131124499952421,14.166330184627638,0.07058991192264696,0.2220375742061093,0.0017199218254684218,1438285,1171,731797,301,left,,,,,,
ABMA1_vs_ABMA20,w45,78,ABMA1,ABMA20,1.0667882872524257,0.9900513933141646,0.07673689393826111,0.07750799045026023,1991.868223994422,1984.286893130935,7.581330863486983,0.0038206828305581727,593.6340660758933,438.7211873684314,154.9128787074619,0.35310097430368326,86.37728411102862,89.83413225688663,-3.456848145858018,-0.038480342148493545,80.5414343001321,206.4037520000711,0.3902130340155074,2.5627027106435896,1.0857584597251844,0.8096479206357062,1247940,3473712,945791,2403266,right,1.0667882872524257,0.9900513933141646,0.07750799045026023,16,201,181.10312450001948
