comparison,instance,metric,mean,median,minimum,maximum,standard_deviation,wins_left,ties,losses_left,exploratory_wilcoxon_p,statistical_label
ABMA1_vs_ABMA20,w30,fitness_relative_degradation,0.26980676782929636,0.26203951542033604,0.16173118216168866,0.38564960590586433,0.11216110190483788,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w30,makespan_relative_degradation,0.01677577322626289,0.017089585316638553,0.01610394251161487,0.017133791850535245,0.0005822421629083042,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w30,load_imbalance_relative_degradation,10.038501509111692,1.3806354896982416,0.43109131688789826,28.303777720748936,15.82531657975854,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w30,total_idle_distance_relative_degradation,-0.16799557282774766,-0.07460538770763477,-0.37563821476712567,-0.05374311600848255,0.1801260909995714,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w30,speedup_right_over_left,2.065302148760538,1.9686598171044427,1.9018427852284618,2.3254038439487097,0.22771868130875728,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w30,wall_time_ratio_left_over_right,0.4879328083904175,0.5079597761439691,0.4300328317604933,0.5258058172667902,0.05093059754458696,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,fitness_relative_degradation,0.06618329782540573,0.0644812744949921,0.05656062853096488,0.07750799045026023,0.010576892521314591,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,makespan_relative_degradation,0.006236553581155549,0.006992268837657799,0.0038206828305581727,0.007896709075250674,0.0021405201817638183,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,load_imbalance_relative_degradation,0.2314848794512394,0.20335216787998675,0.13800149617004825,0.35310097430368326,0.11027480885770785,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,total_idle_distance_relative_degradation,-0.017038276112394966,-0.038129994893080485,-0.038480342148493545,0.025495508704389127,0.036835754694728516,2,0,1,0.5,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,speedup_right_over_left,2.1616885231182352,1.99948105558956,1.9228818031215558,2.5627027106435896,0.3493939686330166,,,,0.25,exploratory only; n=3; not inferential evidence
