instance,seed,algorithm,trace_type,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time,generation
w30,78,ABMA1,primary_evaluation,1,3.6758256036813,1633.0279843221426,987.717416925673,59.347523554358844,0.1240572000388056,
w30,78,ABMA1,primary_evaluation,2,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,0.21745360014028847,
w30,78,ABMA1,primary_evaluation,3,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,0.7903130000922829,
w30,78,ABMA1,primary_evaluation,4,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,1.3630933000240475,
w30,78,ABMA1,primary_evaluation,5,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,1.626999800093472,
w30,78,ABMA1,primary_evaluation,6,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,2.016879400005564,
w30,78,ABMA1,primary_evaluation,7,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,2.2042929001618177,
w30,78,ABMA1,primary_evaluation,8,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,2.4147866000421345,
w30,78,ABMA1,primary_evaluation,9,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,2.666163300164044,
w30,78,ABMA1,primary_evaluation,10,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,3.1880583001766354,
w30,78,ABMA1,primary_evaluation,11,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,3.9831555001437664,
w30,78,ABMA1,primary_evaluation,12,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,4.908870000159368,
w30,78,ABMA1,primary_evaluation,13,1.0825546112723927,1269.308863646738,204.9371444267108,66.53904555777832,5.050818800227717,
w30,78,ABMA1,primary_evaluation,14,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,5.196732900105417,
w30,78,ABMA1,primary_evaluation,15,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,5.365059800213203,
w30,78,ABMA1,primary_evaluation,16,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,5.621250800089911,
w30,78,ABMA1,primary_evaluation,17,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,5.766052200226113,
w30,78,ABMA1,primary_evaluation,18,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,5.980770900147036,
w30,78,ABMA1,primary_evaluation,19,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,6.187416200060397,
w30,78,ABMA1,primary_evaluation,20,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,6.400112600065768,
w30,78,ABMA1,primary_evaluation,21,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,6.667436900082976,
w30,78,ABMA1,primary_evaluation,22,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,6.797014500014484,
w30,78,ABMA1,primary_evaluation,23,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,7.70075700012967,
w30,78,ABMA1,primary_evaluation,24,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,8.647009800188243,
w30,78,ABMA1,primary_evaluation,25,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,8.79936660011299,
w30,78,ABMA1,primary_evaluation,26,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,8.993472900008783,
w30,78,ABMA1,primary_evaluation,27,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,9.627218800131232,
w30,78,ABMA1,primary_evaluation,28,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,9.835760500049219,
w30,78,ABMA1,primary_evaluation,29,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,10.069862900068983,
w30,78,ABMA1,primary_evaluation,30,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,10.306746700080112,
w30,78,ABMA1,primary_evaluation,31,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,10.563597300089896,
w30,78,ABMA1,primary_evaluation,32,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,10.729235600214452,
w30,78,ABMA1,primary_evaluation,33,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,10.985513400053605,
w30,78,ABMA1,primary_evaluation,34,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,11.868915800005198,
w30,78,ABMA1,primary_evaluation,35,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,12.29363020020537,
w30,78,ABMA1,primary_evaluation,36,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,12.898901200154796,
w30,78,ABMA1,primary_evaluation,37,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,13.03041150001809,
w30,78,ABMA1,primary_evaluation,38,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,13.153668700018898,
w30,78,ABMA1,primary_evaluation,39,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,13.444933400023729,
w30,78,ABMA1,primary_evaluation,40,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,13.683110000099987,
w30,78,ABMA1,primary_evaluation,41,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,13.804436500184238,
w30,78,ABMA1,primary_evaluation,42,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,14.050023700110614,
w30,78,ABMA1,primary_evaluation,43,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,14.33743270020932,
w30,78,ABMA1,primary_evaluation,44,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,14.511684000026435,
w30,78,ABMA1,primary_evaluation,45,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,14.770794300129637,
w30,78,ABMA1,primary_evaluation,46,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,15.011586600216106,
w30,78,ABMA1,primary_evaluation,47,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,15.321095700142905,
w30,78,ABMA1,primary_evaluation,48,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,15.40219849999994,
w30,78,ABMA1,primary_evaluation,49,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,15.671217300230637,
w30,78,ABMA1,primary_evaluation,50,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,15.798443300183862,
w30,78,ABMA1,primary_evaluation,51,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,16.085572900017723,
w30,78,ABMA1,primary_evaluation,52,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,16.22795410011895,
w30,78,ABMA1,primary_evaluation,53,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,16.402626200113446,
w30,78,ABMA1,primary_evaluation,54,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,16.82709060003981,
w30,78,ABMA1,primary_evaluation,55,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,17.087673800066113,
w30,78,ABMA1,primary_evaluation,56,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,17.254986900137737,
w30,78,ABMA1,primary_evaluation,57,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,17.466945600230247,
w30,78,ABMA1,primary_evaluation,58,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,17.695460200076923,
w30,78,ABMA1,primary_evaluation,59,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,17.947191200219095,
w30,78,ABMA1,primary_evaluation,60,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,18.196181200211868,
w30,78,ABMA1,primary_evaluation,61,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,18.452678400091827,
w30,78,ABMA1,primary_evaluation,62,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,18.711733000120148,
w30,78,ABMA1,primary_evaluation,63,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,18.933139800094068,
w30,78,ABMA1,primary_evaluation,64,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,19.136749600060284,
w30,78,ABMA1,primary_evaluation,65,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,19.276955200126395,
w30,78,ABMA1,primary_evaluation,66,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,19.55261310003698,
w30,78,ABMA1,primary_evaluation,67,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,19.798384600086138,
w30,78,ABMA1,primary_evaluation,68,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,19.93745780014433,
w30,78,ABMA1,primary_evaluation,69,1.010605934542888,1269.308863646738,144.15812496997773,71.15430242870491,20.147561100078747,
