solver,fitness,makespan,load_imbalance,total_idle_distance,requested_objective_evaluations,realized_objective_evaluations,objective_budget_exhausted,stop_reason,algorithm_time,solver_wall_clock_time,postprocess_time,total_run_wall_clock_time,evaluations_per_second,seconds_per_evaluation,output_cross_validation_status,frozen_profile_hash,run_directory
GA+ACO,1.572153276015821,1367.931757697264,251.95381863702914,65.42131947507794,2000,2000,True,objective_budget,438.2555801868439,440.79500709997956,0.06705490010790527,440.8946435999824,4.563547141025174,0.21912779009342193,success,,unified_experiments/three_solver_w30_protocol25_2026-07-15/budget_pilot_preflight/w30/ga_aco/seed_42/attempt_001
Paper-Aligned-HGA-XCut-Control,1.6250542168093258,1365.5725272482914,296.7515267404856,68.64426994369393,2000,2000,True,objective_budget,1.2949984000297263,2.9946338000008836,0.04955480003263801,3.0591662999941036,1544.4034525093548,0.0006474992000148631,success,,unified_experiments/three_solver_w30_protocol25_2026-07-15/budget_pilot_preflight/w30/paper_aligned_hga/seed_42/attempt_001
ABMA,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,2000,2000,True,objective_budget,113.32397650007624,115.02574240008835,0.04836419993080199,115.08753679995425,17.64851589018017,0.05666198825003812,success,631b2d675e7531d04a3c019cc8013158223944074da3e42d489a5745addee1d3,unified_experiments/three_solver_w30_protocol25_2026-07-15/budget_pilot_preflight/w30/abma/seed_42/attempt_001
