variant,seed,fitness,algorithm_time_s,primary_evaluations,cross_validation_passed
full,104,1.0039409239965633,0.12788599997293204,2000,True
full,105,1.007267953583067,0.09377929999027401,2000,True
no_event_local_search,104,1.002896776500432,0.10174060007557273,2000,True
no_event_local_search,105,1.0071857609404191,0.12001489999238402,2000,True
no_route_local_search,104,1.0067748674779324,0.11450250004418194,2000,True
no_route_local_search,105,1.0193675469267105,0.09689499996602535,2000,True
no_zero_continuity_initialization,104,1.003231601973571,0.08904960006475449,2000,True
no_zero_continuity_initialization,105,1.0075477829334247,0.09391850000247359,2000,True
random_only_initialization,104,1.0158949601660616,0.13482319994363934,2000,True
random_only_initialization,105,1.0085174976379356,0.13468540005851537,2000,True
no_migration,104,1.0039409239965633,0.08683169994037598,2000,True
no_migration,105,1.007267953583067,0.08227690006606281,2000,True
no_restart,104,1.0039409239965633,0.0838281000033021,2000,True
no_restart,105,1.007267953583067,0.10610990005079657,2000,True
