instance,seed,budget,exact_equivalent,mismatch_fields,reference_elapsed_time_s,exact_fast_elapsed_time_s,speedup_reference_over_fast,candidate_sequence_hash,candidate_acceptance_hash
w30,72,100,True,[],25.159709399798885,8.258329899981618,3.046585654062438,e32d3d29f4a2b8a986d200c7de1b3780280adde3cc5d313d9c026853758b97e5,19caab0cc8cdb07dcbd8d66e0af9acd6cc58303ef4bcd9c4fb3dea7242cd649d
w45,72,100,True,[],87.81804960011505,40.70854649995454,2.157238642755597,2364404a909cf3527c2d0eb6fbbd3f3123db29220f6731541093a1ffab44ae1c,4c21774001f00a3853e73cf362c8cca8ff49f0f2b79bd1f8ea88d3fd66628978
w60,72,100,True,[],637.8495388000738,254.75896480004303,2.503737363278711,72fedd5ae0a272c1f8ad8af77ed1a3905bc5d121623b3d3342b6072eb63d447c,344cb44a43a947cf16fe0c009d24ff5f7e60f3b47c6d7b9934cad402481fbf60
