instance,solver,solver_seed,requested_objective_evaluations,realized_objective_evaluations,exact_budget,stop_reason,run_status,fitness,makespan,load_imbalance,total_idle_distance,algorithm_time,solver_wall_clock_time,postprocess_time,total_run_wall_clock_time,evaluations_per_second,seconds_per_evaluation,unassigned_subweld_count,checkpoint_count,frozen_profile_hash,run_directory
w60,GA+ACO,42,2000,2000,True,objective_budget,success,1.0942832434655043,3246.564254948998,2294.5670403627787,96.7689728043078,2589.274612426758,2592.1369149999227,0.06601269997190684,2592.2318621999584,0.7724171049302224,1.294637306213379,0,2,,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_preflight/w60/ga_aco/seed_42/attempt_001
w60,Paper-Aligned-HGA-XCut-Control,42,2000,2000,True,objective_budget,success,1.3090749299352387,3537.560047506444,2083.9204165277315,114.22156619135424,2.2780036000767723,4.026276500080712,0.05835569999180734,4.099894499988295,877.9617380466813,0.0011390018000383862,0,2,,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_preflight/w60/paper_aligned_hga/seed_42/attempt_001
w60,ABMA,42,2000,2000,True,objective_budget,success,0.9831890142931694,3233.837965387536,1485.2110874696039,101.68709513655392,1144.4235172999324,1146.0825231999625,0.05492599995341152,1146.1489766999148,1.7476047719804386,0.5722117586499662,0,2,631b2d675e7531d04a3c019cc8013158223944074da3e42d489a5745addee1d3,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_preflight/w60/abma/seed_42/attempt_001
