solver,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time
ABMA,1000,0.7636492770164982,1244.327294965156,0.21980466613604221,103.20780121984707,88.0475821000291
ABMA,2000,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,109.62263050000183
ABMA,5000,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,109.76942190004047
ABMA,10000,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,110.01059930003248
GA+ACO,1000,3.127680272332184,1554.282783296878,834.0442798746733,56.18141323922555,220.6921664000256
GA+ACO,2000,1.572153276015821,1367.9317576972637,251.9538186370287,65.42131947507794,446.0308798000915
GA+ACO,5000,0.8350208882180443,1244.6324533626992,97.5435873677211,66.36929033560655,1181.924855499994
GA+ACO,10000,0.8304822247877307,1244.6100035290444,94.93101794548829,65.68880631978664,2393.3363794999896
Paper-Aligned-HGA-XCut-Control,1000,3.595188151965315,1619.0983594019117,973.787792005442,58.19593840392274,0.6248389000538737
Paper-Aligned-HGA-XCut-Control,2000,1.5711385465492451,1360.1288839599715,269.78154981598937,71.83652016611804,1.2636577000375837
Paper-Aligned-HGA-XCut-Control,5000,1.2852019502428496,1313.8325876636752,199.04730004143266,77.03498603159906,3.2906405000248924
Paper-Aligned-HGA-XCut-Control,10000,1.2852019502428496,1313.8325876636752,199.04730004143266,77.03498603159906,6.821394600090571
