instance,solver,solver_seed,requested_objective_evaluations,realized_objective_evaluations,exact_budget,stop_reason,run_status,fitness,makespan,load_imbalance,total_idle_distance,algorithm_time,solver_wall_clock_time,postprocess_time,total_run_wall_clock_time,evaluations_per_second,seconds_per_evaluation,unassigned_subweld_count,checkpoint_count,frozen_profile_hash,run_directory
w60,GA+ACO,42,11000,11000,True,objective_budget,success,1.0912341040257263,3245.265782572102,2293.268567985883,94.8439847383034,13667.266518115997,13669.840594200068,0.07754349999595433,13669.9462277001,0.8048427229702055,1.2424787743741816,0,4,,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_pilot/w60/ga_aco/seed_42/attempt_001
w60,Paper-Aligned-HGA-XCut-Control,42,11000,11000,True,objective_budget,success,1.2516369570717083,3513.293387716747,1870.9951766232405,103.1758633662638,10.898712800000794,12.536505199968815,0.08467080001719296,12.634031799971126,1009.2935011554024,0.0009907920727273449,0,4,,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_pilot/w60/paper_aligned_hga/seed_42/attempt_001
w60,ABMA,42,11000,11000,True,objective_budget,success,0.9831890142931694,3233.837965387536,1485.2110874696039,101.68709513655392,1036.659012899967,1038.2310815000674,0.0853114000055939,1038.3278306000866,10.611010817557473,0.09424172844545153,0,4,631b2d675e7531d04a3c019cc8013158223944074da3e42d489a5745addee1d3,unified_experiments/protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/scale_pilot/w60/abma/seed_42/attempt_001
